latitude,longitude,room_type,accommodates,price,availability_365,review_score,is_entire_home,city
33.91942,-118.20913,Private room,2,107.0,160,4.47,0,Los Angeles
34.15438,-118.60947,Entire home/apt,6,186.0,358,4.0,1,Los Angeles
34.00858,-118.45334,Entire home/apt,2,128.0,361,4.91,1,Los Angeles
33.99847,-118.46617,Private room,2,150.0,179,4.92,0,Los Angeles
34.21033,-118.61166,Private room,4,110.0,146,4.9,0,Los Angeles
34.04045,-118.2335,Entire home/apt,2,300.0,332,4.92,1,Los Angeles
33.99571640179683,-118.4608312351106,Entire home/apt,6,315.0,252,4.91,1,Los Angeles
33.91942,-118.20913,Private room,2,94.0,160,4.5,0,Los Angeles
34.15438,-118.08306,Private room,2,73.0,172,4.91,0,Los Angeles
34.07507,-118.2085,Entire home/apt,4,225.0,365,4.69,1,Los Angeles
34.09385,-118.35044,Entire home/apt,2,227.0,153,4.91,1,Los Angeles
33.99849,-118.43987,Entire home/apt,7,186.0,115,4.64,1,Los Angeles
34.02801,-118.40921,Private room,2,61.0,365,4.87,0,Los Angeles
34.16708,-118.64441,Entire home/apt,10,380.0,365,4.41,1,Los Angeles
34.05467,-118.36356,Private room,2,97.0,359,4.94,0,Los Angeles
34.08195,-118.2784,Entire home/apt,1,117.0,364,4.79,1,Los Angeles
33.96731,-118.41919,Entire home/apt,2,115.0,134,4.84,1,Los Angeles
34.1016,-118.32992,Private room,2,60.0,334,4.69,0,Los Angeles
34.10239,-118.32851,Private room,2,60.0,334,4.72,0,Los Angeles
34.01834,-118.36781,Private room,2,282.0,87,,0,Los Angeles
34.06759,-118.38192,Entire home/apt,5,256.0,346,4.52,1,Los Angeles
34.08227,-118.59944,Entire home/apt,2,128.0,269,4.81,1,Los Angeles
34.14511,-117.99678,Entire home/apt,4,130.0,269,4.95,1,Los Angeles
34.03372,-118.47139,Entire home/apt,3,145.0,209,4.77,1,Los Angeles
34.12597,-118.22577,Entire home/apt,4,304.0,365,4.45,1,Los Angeles
34.20169,-118.50028,Entire home/apt,2,65.0,120,4.6,1,Los Angeles
34.07979738778798,-118.60114331369924,Entire home/apt,2,171.0,335,4.9,1,Los Angeles
33.9882,-118.4555,Entire home/apt,2,155.0,266,4.86,1,Los Angeles
34.03948,-118.34081,Entire home/apt,2,105.0,365,4.0,1,Los Angeles
33.91942,-118.20913,Private room,4,100.0,160,4.16,0,Los Angeles
34.03647,-118.23219,Entire home/apt,2,209.0,364,4.9,1,Los Angeles
34.099049,-118.320488,Private room,1,141.0,186,4.84,0,Los Angeles
33.99826,-118.46464,Private room,2,237.0,89,4.93,0,Los Angeles
34.16533,-118.35153,Private room,2,98.0,357,4.96,0,Los Angeles
34.10038,-118.33003,Private room,2,60.0,334,4.72,0,Los Angeles
33.91961,-118.42146,Private room,2,82.0,351,4.79,0,Los Angeles
