city,zip,airbnb_count,avg_airbnb_price,entire_home_ratio,avg_review_score,avg_accommodates,avg_rent_2024,avg_rent_2025,rent_growth,median_income,population
Los Angeles,91387,72,214.0972222,0.7083333333,4.759285714,4.833333333,2582.436693,2629.547862,0.01824291337,,
Los Angeles,91401,168,308.4702381,0.8928571429,4.85373913,5.94047619,2221.843963,2295.80817,0.03328955988,72476,39179
Los Angeles,91402,47,126.212766,0.6808510638,4.785217391,4.170212766,2236.514363,2272.73739,0.01619619704,55130,67937
Los Angeles,91403,151,412.589404,0.8476821192,4.853125,5.536423841,2706.826589,2817.571913,0.04091334293,107970,25887
Los Angeles,91405,58,120.9482759,0.5689655172,4.822,3.051724138,2330.779649,2348.979017,0.007808274811,58365,55451
Los Angeles,91406,144,173.2638889,0.8194444444,4.809130435,4.5,2128.497507,2171.533314,0.02021886677,71819,53276
Los Angeles,91411,80,171.3625,0.8875,4.8621875,3.7875,2542.381755,2607.131757,0.02546824537,73669,23689
Los Angeles,91423,166,328.9698795,0.8313253012,4.86042735,5.403614458,2642.384539,2740.329494,0.03706688164,104205,31787
Los Angeles,91436,71,596.2676056,0.7042253521,4.877435897,6.098591549,4785.596618,5282.513445,0.1038359198,155346,16190
Los Angeles,91501,54,487.3333333,0.8148148148,4.832619048,3.518518519,2734.471121,2809.333145,0.02737714922,,
Los Angeles,91502,24,195,0.75,4.911764706,3.375,2229.150914,2311.278696,0.0368426297,,
Los Angeles,91504,56,416.9107143,0.8035714286,4.883555556,3.982142857,3051.895799,3160.472156,0.03557669206,,
Los Angeles,91505,264,195.8636364,0.8712121212,4.784044444,4.087121212,2914.567561,2972.869395,0.02000359683,,
Los Angeles,91506,109,170.440367,0.7981651376,4.821485149,3.52293578,2287.696967,2393.26904,0.04614775208,,
Los Angeles,91601,252,180.9126984,0.7698412698,4.868538012,4.095238095,2599.539154,2624.938264,0.00977062036,73735,35615
Los Angeles,91602,137,284.7956204,0.8102189781,4.866603774,4.583941606,2586.871327,2676.602566,0.03468716751,93210,19980
Los Angeles,91604,187,402.5668449,0.8930481283,4.854586466,5.053475936,3394.639905,3514.91253,0.03543015687,132494,32073
Los Angeles,91605,82,200.9268293,0.756097561,4.839830508,4.707317073,2021.928191,2095.166534,0.0362220296,61031,51654
Los Angeles,91606,168,195.0238095,0.7380952381,4.772598425,4.517857143,2894.203664,2891.201636,-0.001037255278,64976,43552
Los Angeles,91607,167,277.3053892,0.8622754491,4.834434783,5.023952096,2657.172322,2707.491246,0.01893701958,82995,30734
Los Angeles,91702,100,131.97,0.73,4.789642857,4.25,2601.345389,2703.730721,0.03935860727,,
Los Angeles,91706,139,107.352518,0.7338129496,4.763828125,3.690647482,,2686.715256,,,
Los Angeles,91711,69,199.5652174,0.768115942,4.884590164,4.173913043,3123.585635,3251.476307,0.04094354586,,
Los Angeles,91722,43,111.4651163,0.5581395349,4.78,3.744186047,2400.891878,2388.995395,-0.004955026336,,
Los Angeles,91723,21,113.6190476,0.4761904762,4.859473684,4,2013.842502,2033.84763,0.009933809625,,
Los Angeles,91724,43,169.9069767,0.6744186047,4.857692308,4.581395349,,,,,
Los Angeles,91731,83,108.746988,0.6626506024,4.830285714,3.771084337,,2841.906723,,,
Los Angeles,91732,160,117.1,0.63125,4.752027027,3.53125,,2524.739064,,,
Los Angeles,91733,76,113.3026316,0.7236842105,4.724264706,4.328947368,,2737.583469,,,
Los Angeles,91740,39,185.3846154,0.7435897436,4.767272727,5.692307692,2341.988609,2422.804618,0.03450743028,,
Los Angeles,91741,76,175.6447368,0.7368421053,4.810153846,5.236842105,3001.584085,3213.797768,0.07070056234,,
Los Angeles,91744,103,115.0097087,0.7475728155,4.704835165,4.058252427,2134.465387,2191.467028,0.02670534836,,
Los Angeles,91745,259,143.1428571,0.4594594595,4.732054795,4.277992278,3225.640585,3304.434189,0.02442727326,,
Los Angeles,91748,403,110.8684864,0.3970223325,4.676949153,4.069478908,2224.987275,2279.976621,0.02471445442,,
Los Angeles,91750,39,113.6923077,0.5128205128,4.884857143,3,2660.017781,2783.791023,0.0465309829,,
Los Angeles,91754,171,162.3508772,0.6257309942,4.72722973,5.16374269,2379.547427,2471.660232,0.03871022026,,
Los Angeles,91755,112,169.8482143,0.5803571429,4.759894737,5.107142857,,2789.197258,,,
Los Angeles,91763,1,213,1,4.79,6,2477.947927,2611.886358,0.05405215733,,
Los Angeles,91765,54,272.8148148,0.7592592593,4.822258065,5.925925926,2926.863658,3062.856349,0.04646362359,,
Los Angeles,91766,73,111.6027397,0.5479452055,4.750350877,3.383561644,2633.315011,2778.1298,0.05499334027,,
Los Angeles,91767,43,120.3023256,0.6511627907,4.796111111,4.348837209,2513.334988,2592.729758,0.03158941,,
Los Angeles,91768,22,152.5,0.6363636364,4.8775,5.045454545,,,,,
Los Angeles,91770,169,109.3786982,0.6272189349,4.718851351,3.798816568,2538.58108,2829.165957,0.1144674398,,
Los Angeles,91773,44,150.7954545,0.5,4.835833333,3.477272727,2668.017125,2752.785944,0.03177221707,,
Los Angeles,91775,130,142.3153846,0.6153846154,4.697981651,4.269230769,2502.505142,2566.689392,0.0256479993,,
Los Angeles,91776,212,151.1179245,0.5613207547,4.752154696,4.514150943,2753.72744,2875.358749,0.04416969786,,
Los Angeles,91780,130,156.5615385,0.6923076923,4.718910891,4.476923077,3280.483658,3532.721481,0.07689043739,,
